order_id,Market
77202,Pacific Asia
75939,Pacific Asia
75938,Pacific Asia
75937,Pacific Asia
75936,Pacific Asia
75935,Pacific Asia
75934,Pacific Asia
75933,Pacific Asia
75932,Pacific Asia
75931,Pacific Asia
75930,Pacific Asia
75929,Pacific Asia
75928,Pacific Asia
75927,Pacific Asia
75926,Pacific Asia
75925,Pacific Asia
75924,Pacific Asia
75923,Pacific Asia
75922,Pacific Asia
75921,Pacific Asia
75920,Pacific Asia
75919,Pacific Asia
75918,Pacific Asia
75917,Pacific Asia
75916,Pacific Asia
75915,Pacific Asia
75914,Pacific Asia
75913,Pacific Asia
75912,Pacific Asia
75911,Pacific Asia
75910,Pacific Asia
75909,Pacific Asia
75908,Pacific Asia
75907,Pacific Asia
75906,Pacific Asia
75905,Pacific Asia
75904,Pacific Asia
75903,Pacific Asia
75902,Pacific Asia
75901,Pacific Asia
75900,Pacific Asia
75899,Pacific Asia
75898,Pacific Asia
75897,Pacific Asia
75896,Pacific Asia
75895,Pacific Asia
75894,Pacific Asia
75893,Pacific Asia
28744,Pacific Asia
45461,Pacific Asia
31115,Pacific Asia
45766,Pacific Asia
47752,Pacific Asia
50054,Pacific Asia
20365,Pacific Asia
36146,USCA
41234,USCA
32090,USCA
34773,USCA
44046,Africa
46414,Africa
46599,Africa
48434,Africa
12827,Europe
63936,Europe
65030,Europe
18108,Europe
62571,Europe
17162,Europe
65922,Europe
63936,Europe
64813,Europe
67892,Europe
12525,Europe
5895,LATAM
56359,LATAM
58613,LATAM
7824,LATAM
7814,LATAM
7814,LATAM
60807,LATAM
53413,LATAM
7888,LATAM
6783,LATAM
56973,LATAM
7824,LATAM
55155,LATAM
5991,LATAM
2263,LATAM
2263,LATAM
53403,LATAM
51298,LATAM
4919,LATAM
52640,LATAM
6358,LATAM
57106,LATAM
6245,LATAM
52166,LATAM
56172,LATAM
55829,LATAM
52478,LATAM
57242,LATAM
3137,LATAM
60127,LATAM
3828,LATAM
60386,LATAM
973,LATAM
57999,LATAM
54585,LATAM
57598,LATAM
54274,LATAM
60673,LATAM
59387,LATAM
52640,LATAM
10007,LATAM
55984,LATAM
52478,LATAM
58375,LATAM
56448,LATAM
8221,LATAM
58034,LATAM
2203,LATAM
53069,LATAM
60146,LATAM
55409,LATAM
8678,LATAM
7980,LATAM
57185,LATAM
8636,LATAM
61192,LATAM
55876,LATAM
53331,LATAM
51725,LATAM
52562,LATAM
59754,LATAM
53574,LATAM
399,LATAM
51050,Africa
45680,Africa
42992,Africa
41304,Africa
45680,Africa
44253,Africa
46098,Africa
41304,Africa
71077,Europe
69703,Europe
71112,Europe
69810,Europe
71092,Europe
69610,Europe
71000,Europe
70734,Europe
69626,Europe
69482,Europe
70769,Europe
69643,Europe
71051,Europe
69408,Europe
71123,Europe
70534,Europe
69641,Europe
70960,Europe
69908,Europe
70957,Europe
69637,Europe
70955,Europe
70919,Europe
71009,Europe
69653,Europe
69527,Europe
71080,Europe
70544,Europe
69471,Europe
68879,Europe
67214,Europe
17810,Europe
18793,Europe
65109,Europe
15673,Europe
18183,Europe
20234,Europe
13139,Europe
33824,USCA
31364,USCA
40495,USCA
31364,USCA
34506,USCA
33607,USCA
32617,USCA
37496,USCA
32617,USCA
49075,USCA
33824,USCA
49075,USCA
41623,USCA
39271,USCA
38598,USCA
37845,USCA
42331,Africa
41345,Africa
51168,Africa
51168,Africa
43599,Africa
41901,Africa
42751,Africa
45088,Africa
50489,Africa
44409,Africa
42101,Africa
50424,Africa
49825,Africa
41294,Africa
42023,Africa
47774,Africa
41827,Africa
47193,Africa
42626,Africa
46199,Africa
48468,Africa
51009,Africa
46229,Africa
42882,Africa
46827,Africa
48684,Africa
48684,Africa
46416,Africa
47343,Africa
41686,Pacific Asia
41896,Pacific Asia
28168,Pacific Asia
24992,Pacific Asia
30851,Pacific Asia
25074,Pacific Asia
76870,Pacific Asia
25163,Pacific Asia
28036,Pacific Asia
22679,Pacific Asia
23610,Pacific Asia
42828,Pacific Asia
41896,Pacific Asia
48713,Pacific Asia
45668,Pacific Asia
74796,Pacific Asia
27918,Pacific Asia
30097,Pacific Asia
30966,Pacific Asia
30063,Pacific Asia
22019,Pacific Asia
24230,Pacific Asia
48713,Pacific Asia
42353,Pacific Asia
45668,Pacific Asia
42134,Pacific Asia
21522,Pacific Asia
23767,Pacific Asia
25433,Pacific Asia
73893,Pacific Asia
30085,Pacific Asia
30172,Pacific Asia
27478,Pacific Asia
76976,Pacific Asia
24063,Pacific Asia
51209,Pacific Asia
73839,Pacific Asia
74723,Pacific Asia
26821,Pacific Asia
77102,Pacific Asia
41608,Pacific Asia
47009,Pacific Asia
49916,Pacific Asia
29746,Pacific Asia
72533,Pacific Asia
48608,Africa
45506,Africa
45027,Africa
46308,Africa
43685,Africa
41893,Africa
46339,Africa
46667,Africa
47647,Africa
48565,Africa
43889,Africa
45138,Africa
44160,Africa
49214,Africa
41825,Africa
44504,Africa
44496,Africa
45559,Africa
44074,Africa
49857,Africa
41786,Africa
48042,Africa
44301,Africa
41591,Africa
44981,Africa
41545,Africa
49910,Africa
19590,Europe
43650,Europe
15202,Europe
15462,Europe
15155,Europe
64451,Europe
67028,Europe
62336,Europe
11334,Europe
62885,Europe
66998,Europe
47002,Europe
63445,Europe
67566,Europe
18884,Europe
18845,Europe
66854,Europe
46955,Europe
55002,LATAM
60445,LATAM
53586,LATAM
56618,LATAM
51865,LATAM
2937,LATAM
54446,LATAM
58623,LATAM
7411,LATAM
5348,LATAM
59742,LATAM
59498,LATAM
3459,LATAM
8470,LATAM
53455,LATAM
2014,LATAM
55899,LATAM
52582,LATAM
56222,LATAM
57829,LATAM
56217,LATAM
5893,LATAM
5528,LATAM
367,LATAM
52353,LATAM
1784,LATAM
60317,LATAM
6776,LATAM
4487,LATAM
9681,LATAM
60868,LATAM
53231,LATAM
52601,LATAM
4660,LATAM
3539,LATAM
53231,LATAM
54488,LATAM
6776,LATAM
52549,LATAM
60361,LATAM
8470,LATAM
5712,LATAM
9309,LATAM
8095,LATAM
75892,Pacific Asia
75891,Pacific Asia
75890,Pacific Asia
75889,Pacific Asia
75888,Pacific Asia
75887,Pacific Asia
75886,Pacific Asia
75885,Pacific Asia
75884,Pacific Asia
75883,Pacific Asia
75882,Pacific Asia
75881,Pacific Asia
75880,Pacific Asia
75879,Pacific Asia
75878,Pacific Asia
75877,Pacific Asia
75876,Pacific Asia
75875,Pacific Asia
75874,Pacific Asia
75873,Pacific Asia
75872,Pacific Asia
75871,Pacific Asia
75870,Pacific Asia
75869,Pacific Asia
75868,Pacific Asia
75867,Pacific Asia
75866,Pacific Asia
75865,Pacific Asia
75864,Pacific Asia
75863,Pacific Asia
75862,Pacific Asia
75861,Pacific Asia
75860,Pacific Asia
75859,Pacific Asia
75858,Pacific Asia
75857,Pacific Asia
75856,Pacific Asia
75855,Pacific Asia
75854,Pacific Asia
75853,Pacific Asia
75852,Pacific Asia
75851,Pacific Asia
75850,Pacific Asia
75849,Pacific Asia
75848,Pacific Asia
75847,Pacific Asia
75846,Pacific Asia
75845,Pacific Asia
75844,Pacific Asia
75843,Pacific Asia
75842,Pacific Asia
75841,Pacific Asia
75840,Pacific Asia
75839,Pacific Asia
75838,Pacific Asia
75837,Pacific Asia
75836,Pacific Asia
75835,Pacific Asia
75834,Pacific Asia
75833,Pacific Asia
75832,Pacific Asia
75831,Pacific Asia
75830,Pacific Asia
75829,Pacific Asia
75828,Pacific Asia
75827,Pacific Asia
75826,Pacific Asia
75825,Pacific Asia
75824,Pacific Asia
75823,Pacific Asia
75822,Pacific Asia
75821,Pacific Asia
75820,Pacific Asia
75819,Pacific Asia
75818,Pacific Asia
75817,Pacific Asia
75816,Pacific Asia
75815,Pacific Asia
75814,Pacific Asia
75813,Pacific Asia
75812,Pacific Asia
75811,Pacific Asia
75810,Pacific Asia
75809,Pacific Asia
75808,Pacific Asia
75807,Pacific Asia
75806,Pacific Asia
75805,Pacific Asia
75804,Pacific Asia
