product_name,category,department,Product Price,product_image,view_count,unique_users,peak_month,peak_hour
smart watch,sporting goods,Fitness,327.75,http://images.acmesports.sports/Smart+watch ,0.0,0.0,,
perfect fitness perfect rip deck,cleats,Apparel,59.99000168,http://images.acmesports.sports/Perfect+Fitness+Perfect+Rip+Deck,27878.0,2773.0,Sep,21.0
under armour girls' toddler spine surge runni,shop by sport,Golf,39.99000168,http://images.acmesports.sports/Under+Armour+Girls%27+Toddler+Spine+Surge+Running+Shoe,12511.0,2273.0,Sep,20.0
nike men's dri-fit victory golf polo,women's apparel,Golf,50.0,http://images.acmesports.sports/Nike+Men%27s+Dri-FIT+Victory+Golf+Polo,25627.0,2730.0,Sep,21.0
under armour men's compression ev sl slide,electronics,Footwear,44.99000168,http://images.acmesports.sports/Under+Armour+Men%27s+Compression+EV+SL+Slide,4457.0,1448.0,Sep,22.0
under armour women's micro g skulpt running s,boxing & mma,Footwear,54.97000122,http://images.acmesports.sports/Under+Armour+Women%27s+Micro+G+Skulpt+Running+Shoe,5933.0,1664.0,Sep,20.0
nike men's free 5.0+ running shoe,cardio equipment,Footwear,99.98999786,http://images.acmesports.sports/Nike+Men%27s+Free+5.0%2B+Running+Shoe,13641.0,2367.0,Sep,21.0
glove it women's mod oval 3-zip carry all gol,trade-in,Outdoors,21.98999977,http://images.acmesports.sports/Glove+It+Women%27s+Mod+Oval+3-Zip+Carry+All+Golf+Bag,0.0,0.0,,
bridgestone e6 straight distance nfl san dieg,electronics,Outdoors,31.98999977,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+San+Diego+Chargers...,1355.0,611.0,Sep,19.0
columbia men's pfg anchor tough t-shirt,shop by sport,Golf,30.0,http://images.acmesports.sports/Columbia+Men%27s+PFG+Anchor+Tough+T-Shirt,13716.0,2336.0,Sep,21.0
titleist pro v1x golf balls,electronics,Outdoors,47.99000168,http://images.acmesports.sports/Titleist+Pro+V1x+Golf+Balls,1259.0,580.0,Sep,22.0
bridgestone e6 straight distance nfl tennesse,electronics,Outdoors,31.98999977,http://images.acmesports.sports/Bridgestone+e6+Straight+Distance+NFL+Tennessee+Titans+Golf...,1256.0,579.0,Sep,18.0
polar ft4 heart rate monitor,kids' golf clubs,Outdoors,89.98999786,http://images.acmesports.sports/Polar+FT4+Heart+Rate+Monitor,1456.0,652.0,Sep,19.0
eno atlas hammock straps,hunting & shooting,Fan Shop,29.98999977,http://images.acmesports.sports/ENO+Atlas+Hammock+Straps,0.0,0.0,,
adidas men's f10 messi trx fg soccer cleat,baseball & softball,Fitness,59.99000168,http://images.acmesports.sports/adidas+Men%27s+F10+Messi+TRX+FG+Soccer+Cleat,0.0,0.0,,
brooks women's ghost 6 running shoe,boxing & mma,Footwear,89.98999786,http://images.acmesports.sports/Brooks+Women%27s+Ghost+6+Running+Shoe,0.0,0.0,,
nike men's cj elite 2 td football cleat,men's footwear,Apparel,129.9900055,http://images.acmesports.sports/Nike+Men%27s+CJ+Elite+2+TD+Football+Cleat,25241.0,2703.0,Sep,22.0
diamondback women's serene classic comfort bi,camping & hiking,Fan Shop,299.980011,http://images.acmesports.sports/Diamondback+Women%27s+Serene+Classic+Comfort+Bike+2014,15521.0,2428.0,Sep,21.0
industrial consumer electronics,consumer electronics,Technology,252.8800049,http://images.acmesports.sports/Industrial+consumer+electronics,0.0,0.0,,
web camera,cameras,Technology,452.0400085,http://images.acmesports.sports/Web+Camera,0.0,0.0,,
dell laptop,computers,Technology,1500.0,http://images.acmesports.sports/Dell+Laptop,0.0,0.0,,
sole e25 elliptical,basketball,Fitness,999.9899902,http://images.acmesports.sports/SOLE+E25+Elliptical,5645.0,1657.0,Sep,23.0
