customer_id,order_id
20755,77202
19492,75939
19491,75938
19490,75937
19489,75936
19488,75935
19487,75934
19486,75933
19485,75932
19484,75931
19483,75930
19482,75929
19481,75928
19480,75927
19479,75926
19478,75925
19477,75924
19476,75923
19475,75922
19474,75921
19473,75920
19472,75919
19471,75918
19470,75917
19469,75916
19468,75915
19467,75914
19466,75913
19465,75912
19464,75911
19463,75910
19462,75909
19461,75908
19460,75907
19459,75906
19458,75905
19457,75904
19456,75903
19455,75902
19454,75901
19453,75900
19452,75899
19451,75898
19450,75897
19449,75896
19448,75895
19447,75894
19446,75893
9083,28744
4741,45461
639,31115
9702,45766
9114,47752
1362,50054
8011,20365
3296,36146
3182,41234
7864,32090
11169,34773
5197,44046
1535,46414
6122,46599
9451,48434
542,12827
11329,63936
3570,65030
650,18108
9353,62571
54,17162
12151,65922
11329,63936
10018,64813
3182,67892
4936,12525
8707,5895
1025,56359
8831,58613
10679,7824
5007,7814
5007,7814
9854,60807
376,53413
5417,7888
10759,6783
8541,56973
10679,7824
3752,55155
4673,5991
5367,2263
5367,2263
10485,53403
9272,51298
647,4919
6398,52640
4209,6358
8917,57106
7784,6245
1425,52166
2737,56172
6428,55829
6543,52478
3990,57242
8524,3137
9204,60127
11761,3828
9554,60386
5118,973
5506,57999
1423,54585
138,57598
6360,54274
2053,60673
10344,59387
6398,52640
3375,10007
1339,55984
6543,52478
3990,58375
7247,56448
1273,8221
6277,58034
7701,2203
4126,53069
9528,60146
1853,55409
11149,8678
5828,7980
6887,57185
4781,8636
10668,61192
5421,55876
10200,53331
11254,51725
11106,52562
8456,59754
6149,53574
1473,399
1840,51050
6757,45680
3972,42992
9316,41304
6757,45680
11213,44253
3474,46098
9316,41304
14630,71077
13256,69703
14665,71112
13363,69810
14645,71092
13163,69610
14553,71000
14287,70734
13179,69626
13035,69482
14322,70769
13196,69643
14604,71051
12961,69408
14676,71123
14087,70534
13194,69641
14513,70960
13461,69908
14510,70957
13190,69637
14508,70955
14472,70919
14562,71009
13206,69653
13080,69527
14633,71080
14097,70544
13024,69471
778,68879
7146,67214
6365,17810
8422,18793
8524,65109
3784,15673
10519,18183
7132,20234
3709,13139
1509,33824
1636,31364
2784,40495
1636,31364
9174,34506
122,33607
3800,32617
10029,37496
3800,32617
2805,49075
1509,33824
2805,49075
12253,41623
3528,39271
11018,38598
3222,37845
6246,42331
8741,41345
8050,51168
8050,51168
5474,43599
474,41901
12255,42751
10288,45088
4717,50489
4799,44409
4533,42101
12383,50424
3518,49825
4674,41294
8519,42023
5302,47774
3594,41827
9890,47193
1410,42626
7521,46199
2106,48468
8144,51009
5643,46229
2041,42882
7537,46827
3056,48684
3056,48684
7967,46416
1758,47343
7884,41686
289,41896
10081,28168
1169,24992
1182,30851
717,25074
20423,76870
5801,25163
702,28036
6951,22679
6780,23610
6422,42828
289,41896
5384,48713
2985,45668
18349,74796
11286,27918
489,30097
4510,30966
9626,30063
9494,22019
1718,24230
5384,48713
5295,42353
2985,45668
3984,42134
5270,21522
10966,23767
1868,25433
17446,73893
10071,30085
1271,30172
11930,27478
20529,76976
8358,24063
7705,51209
17392,73839
18276,74723
7795,26821
20655,77102
2454,41608
150,47009
10671,49916
11924,29746
16086,72533
4398,48608
5687,45506
8534,45027
3372,46308
10927,43685
3597,41893
2052,46339
4399,46667
185,47647
3441,48565
11947,43889
1555,45138
9399,44160
2792,49214
10118,41825
8544,44504
4296,44496
4391,45559
2882,44074
3283,49857
397,41786
4104,48042
12214,44301
10699,41591
2091,44981
10474,41545
7504,49910
7518,19590
1738,43650
1622,15202
1325,15462
5505,15155
4210,64451
11229,67028
9385,62336
900,11334
6217,62885
9466,66998
4596,47002
5206,63445
2823,67566
10408,18884
11011,18845
40,66854
11636,46955
7454,55002
5138,60445
8696,53586
2329,56618
12431,51865
10860,2937
12094,54446
5088,58623
2200,7411
10966,5348
3997,59742
8746,59498
3687,3459
9162,8470
8993,53455
5875,2014
2502,55899
9563,52582
7259,56222
3131,57829
4140,56217
4539,5893
6071,5528
8730,367
9634,52353
8010,1784
3484,60317
7307,6776
1975,4487
629,9681
11753,60868
5375,53231
1695,52601
9884,4660
8498,3539
5375,53231
7534,54488
7307,6776
123,52549
8498,60361
9162,8470
8925,5712
5981,9309
7347,8095
19445,75892
19444,75891
19443,75890
19442,75889
19441,75888
19440,75887
19439,75886
19438,75885
19437,75884
19436,75883
19435,75882
19434,75881
19433,75880
19432,75879
19431,75878
19430,75877
19429,75876
19428,75875
19427,75874
19426,75873
19425,75872
19424,75871
19423,75870
19422,75869
19421,75868
19420,75867
19419,75866
19418,75865
19417,75864
19416,75863
19415,75862
19414,75861
19413,75860
19412,75859
19411,75858
19410,75857
19409,75856
19408,75855
19407,75854
19406,75853
19405,75852
19404,75851
19403,75850
19402,75849
19401,75848
19400,75847
19399,75846
19398,75845
19397,75844
19396,75843
19395,75842
19394,75841
19393,75840
19392,75839
19391,75838
19390,75837
19389,75836
19388,75835
19387,75834
19386,75833
19385,75832
19384,75831
19383,75830
19382,75829
19381,75828
19380,75827
19379,75826
19378,75825
19377,75824
19376,75823
19375,75822
19374,75821
19373,75820
19372,75819
19371,75818
19370,75817
19369,75816
19368,75815
19367,75814
19366,75813
19365,75812
19364,75811
19363,75810
19362,75809
19361,75808
19360,75807
19359,75806
19358,75805
19357,75804
19356,75803
19355,75802
19354,75801
19353,75800
19352,75799
19351,75798
19350,75797
8707,5895
12069,3130
9597,49521
9702,30305
1362,50054
9467,27772
9114,47752
2546,31296
2240,22076
11650,25665
2546,31296
10368,22819
6489,27099
10533,28292
11292,39159
7864,32090
47,34631
6405,37669
6405,37669
11169,34773
2426,40085
8133,47262
1429,44771
9120,13890
12221,17071
9415,11321
10018,64813
54,17162
542,12827
724,11936
8897,68337
7112,45746
10018,64813
1086,13736
7112,49622
2916,19444
11329,63936
7112,49622
11339,51911
10166,58239
3091,56678
5007,53202
1070,58738
6871,56260
2339,5042
5007,53202
4232,55511
8986,54128
6491,21244
9114,47752
5564,31239
7955,45772
5728,24661
1362,50054
9704,22924
8485,21902
11216,21534
4741,45461
12160,24160
11292,39159
6352,32102
5870,37763
11776,37867
7060,31905
3466,36269
11776,37867
2426,40085
2426,40085
1834,48374
9451,48434
2439,17719
6416,15766
6310,12179
9029,66275
295,13140
9011,16444
6416,15766
3570,65030
1577,14454
1086,13736
1568,67979
3570,65030
9029,66275
9047,65264
724,11936
9120,13890
7603,51226
6746,52576
5007,53202
1566,67753
2918,15421
1491,13225
14915,71362
9619,13232
1566,67753
778,68879
2363,65487
5898,65105
1948,14837
1820,46224
14770,71217
1962,63972
7175,19200
1222,18009
487,10831
2217,68107
2918,15421
14824,71271
778,68879
2363,65487
2078,16953
10497,49664
4695,16446
487,10831
9857,14960
2168,18005
487,10831
4078,12804
11887,14651
6588,10990
7167,65609
1459,17878
548,16998
5224,13970
6588,10990
2686,13614
468,44388
8456,13050
1260,12613
3050,66587
10308,62795
6428,18950
387,19610
2270,65011
482,19380
1956,65005
7466,20085
8224,18245
6365,17810
3490,19817
1596,10444
9857,64637
3969,15269
9342,14064
2028,14551
3940,12698
8293,47758
9962,68220
8098,14730
8348,66411
653,12535
8645,67712
1275,18593
11189,17909
5988,16302
8098,14730
9726,13343
5113,62117
9726,62637
482,67845
8645,67712
7202,11209
1173,41494
1275,18593
9726,13343
9726,62637
13597,70044
1566,67753
4047,16617
6594,14574
3940,12698
1186,15599
9726,13343
4279,20072
4151,12323
14848,71295
4697,66351
3940,12698
5887,44148
8524,53540
4126,53069
3207,57570
12310,5154
1222,9122
8397,4427
6306,9340
8002,9331
12382,58315
7844,54572
12291,51746
6523,4269
4078,61346
4867,1999
5301,53576
4784,57152
8348,51674
